Date,Time,Away Team,Away Code,Away Score,Home Team,Home Code,Home Score,Game Link,Away Goalie,Away GA,Away DEC,Away SA,Away Saves,Away SV%,Away Shutouts,Away PIM,Away TOI,Home Goalie,Home GA,Home DEC,Home SA,Home Saves,Home SV%,Home Shutouts,Home PIM,Home TOI
2023-10-12,10:30 PM,Vegas Golden Knights,VEG,4,San Jose Sharks,SJS,1,https://www.hockey-reference.com/boxscores/202310120SJS.html,Logan Thompson,1,W,23,22,.957,0,0,60:00,Kaapo Kähkönen,4,L,32,28,.875,0,0,60:00
2023-10-13,7:00 PM,Arizona Coyotes,ARI,4,New Jersey Devils,NJD,3,https://www.hockey-reference.com/boxscores/202310130NJD.html,Karel Vejmelka,3,W,36,33,.917,0,0,65:00,Akira Schmid,3,O,33,30,.909,0,0,65:00
2023-10-13,7:30 PM,Pittsburgh Penguins,PIT,4,Washington Capitals,WSH,0,https://www.hockey-reference.com/boxscores/202310130WSH.html,Tristan Jarry,0,W,19,19,1.000,1,0,60:00,Charlie Lindgren,4,L,35,31,.886,0,0,59:56
2023-10-14,7:00 PM,Nashville Predators,NSH,2,Boston Bruins,BOS,3,https://www.hockey-reference.com/boxscores/202310140BOS.html,Juuse Saros,3,L,30,27,.900,0,0,57:36,Jeremy Swayman,2,W,36,34,.944,0,0,59:01
2023-10-14,7:00 PM,New York Rangers,NYR,3,Columbus Blue Jackets,CBJ,5,https://www.hockey-reference.com/boxscores/202310140CBJ.html,Igor Shesterkin,5,L,21,16,.762,0,0,56:40,Elvis Merzļikins,1,W,25,24,.960,0,0,39:54
2023-10-14,7:00 PM,Tampa Bay Lightning,TBL,4,Detroit Red Wings,DET,6,https://www.hockey-reference.com/boxscores/202310140DET.html,Jonas Johansson,5,L,41,36,.878,0,0,57:30,Ville Husso,4,W,25,21,.840,0,0,60:00
2023-10-14,10:00 PM,Vancouver Canucks,VAN,4,Edmonton Oilers,EDM,3,https://www.hockey-reference.com/boxscores/202310140EDM.html,Casey DeSmith,3,W,40,37,.925,0,0,60:00,Stuart Skinner,4,L,16,12,.750,0,0,57:38
2023-10-14,10:30 PM,Carolina Hurricanes,CAR,6,Los Angeles Kings,LAK,5,https://www.hockey-reference.com/boxscores/202310140LAK.html,Frederik Andersen,5,W,30,25,.833,0,0,65:00,Pheonix Copley,5,O,19,14,.737,0,0,64:24
2023-10-14,7:00 PM,Chicago Blackhawks,CHI,2,Montreal Canadiens,MTL,3,https://www.hockey-reference.com/boxscores/202310140MTL.html,Petr Mrázek,3,L,36,33,.917,0,0,58:06,Sam Montembeault,2,W,30,28,.933,0,0,60:00
2023-10-14,7:30 PM,Buffalo Sabres,BUF,2,New York Islanders,NYI,3,https://www.hockey-reference.com/boxscores/202310140NYI.html,Devon Levi,3,L,29,26,.897,0,0,59:32,Ilya Sorokin,2,W,28,26,.929,0,0,59:51
2023-10-14,1:00 PM,Philadelphia Flyers,PHI,2,Ottawa Senators,OTT,5,https://www.hockey-reference.com/boxscores/202310140OTT.html,Carter Hart,5,L,31,26,.839,0,0,58:57,Anton Forsberg,2,W,21,19,.905,0,0,59:44
2023-10-14,7:00 PM,Calgary Flames,CGY,2,Pittsburgh Penguins,PIT,5,https://www.hockey-reference.com/boxscores/202310140PIT.html,Jacob Markström,4,L,28,24,.857,0,0,57:49,Alex Nedeljkovic,2,W,36,34,.944,0,0,59:42
2023-10-14,10:00 PM,Colorado Avalanche,COL,2,San Jose Sharks,SJS,1,https://www.hockey-reference.com/boxscores/202310140SJS.html,Alexandar Georgiev,1,W,21,20,.952,0,0,64:12,Mackenzie Blackwood,1,O,52,51,.981,0,0,65:00
2023-10-14,8:00 PM,Seattle Kraken,SEA,1,St. Louis Blues,STL,2,https://www.hockey-reference.com/boxscores/202310140STL.html,Joey Daccord,1,O,25,24,.960,0,0,65:00,Jordan Binnington,1,W,31,30,.968,0,0,65:00
2023-10-14,7:00 PM,Minnesota Wild,MIN,4,Toronto Maple Leafs,TOR,7,https://www.hockey-reference.com/boxscores/202310140TOR.html,Filip Gustavsson,7,L,33,26,.788,0,0,60:00,Ilya Samsonov,4,W,32,28,.875,0,0,60:00
2023-10-14,10:00 PM,Anaheim Ducks,ANA,1,Vegas Golden Knights,VEG,4,https://www.hockey-reference.com/boxscores/202310140VEG.html,John Gibson,3,L,37,34,.919,0,0,59:51,Adin Hill,1,W,23,22,.957,0,0,59:03
2023-10-14,4:00 PM,Florida Panthers,FLA,4,Winnipeg Jets,WPG,6,https://www.hockey-reference.com/boxscores/202310140WPG.html,Sergei Bobrovsky,5,L,34,29,.853,0,0,57:57,Connor Hellebuyck,4,W,33,29,.879,0,0,59:52
2023-10-15,8:30 PM,Carolina Hurricanes,CAR,3,Anaheim Ducks,ANA,6,https://www.hockey-reference.com/boxscores/202310150ANA.html,Antti Raanta,4,L,23,19,.826,0,0,59:21,Lukáš Dostál,3,W,35,32,.914,0,0,59:39
2023-10-15,7:00 PM,Tampa Bay Lightning,TBL,2,Ottawa Senators,OTT,5,https://www.hockey-reference.com/boxscores/202310150OTT.html,Matt Tomkins,4,L,37,33,.892,0,0,58:28,Joonas Korpisalo,2,W,24,22,.917,0,0,59:34
